Team,Rim.Rank,Rim.Freq,Short.Mid.Rank,Short.Mid.Freq,Long.Mid.Rank,Long.Mid.Freq,Corner.Three.Rank,Corner.Three.Freq,Non.Corner.Rank,Non.Corner.Freq,Rim.Color,Rim.Opacity,Short.Mid.Color,Short.Mid.Opacity,Long.Mid.Color,Long.Mid.Opacity,Corner.Three.Color,Corner.Three.Opacity,Non.Corner.Color,Non.Corner.Opacity,Year,Location
Cleveland,5,34.9%,13,21.7%,23,8.1%,23,8.1%,18,27.3%,Red,0.7,Gray,0.3,Blue,0.3,Blue,0.3,Gray,0.3,2021,away
Dallas,29,25.5%,11,22.5%,8,13.0%,21,8.3%,8,30.6%,Blue,0.7,Gray,0.3,Red,0.3,Blue,0.3,Red,0.3,2021,away
Denver,12,32.1%,23,18.2%,11,12.7%,14,9.3%,15,27.6%,Gray,0.3,Blue,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2021,away
Detroit,7,33.9%,26,17.8%,15,10.8%,4,10.7%,20,26.8%,Red,0.3,Blue,0.7,Gray,0.3,Red,0.7,Gray,0.3,2021,away
Golden State,3,37.0%,29,13.7%,22,8.1%,8,9.9%,5,31.3%,Red,0.7,Blue,0.7,Blue,0.3,Red,0.3,Red,0.7,2021,away
Houston,1,41.6%,28,13.8%,29,5.2%,16,9.0%,9,30.4%,Red,0.7,Blue,0.7,Blue,0.7,Gray,0.3,Red,0.3,2021,away
Indiana,18,31.5%,15,21.4%,16,10.7%,17,8.9%,17,27.4%,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2021,away
LA Clippers,28,26.3%,21,19.2%,4,15.2%,3,10.9%,12,28.4%,Blue,0.7,Blue,0.3,Red,0.7,Red,0.7,Gray,0.3,2021,away
LA Lakers,2,37.4%,30,13.5%,2,16.6%,27,7.7%,25,24.8%,Red,0.7,Blue,0.7,Red,0.7,Blue,0.7,Blue,0.3,2021,away
Memphis,25,28.1%,1,30.1%,28,6.3%,18,8.5%,19,27.0%,Blue,0.3,Red,0.7,Blue,0.7,Gray,0.3,Gray,0.3,2021,away
Miami,22,28.7%,8,22.8%,14,10.9%,2,12.1%,23,25.5%,Blue,0.3,Red,0.3,Gray,0.3,Red,0.7,Blue,0.3,2021,away
Milwaukee,21,29.1%,18,20.0%,19,10.0%,7,10.3%,7,30.6%,Blue,0.3,Gray,0.3,Gray,0.3,Red,0.3,Red,0.3,2021,away
Minnesota,19,31.0%,12,21.8%,26,7.5%,28,7.4%,3,32.3%,Gray,0.3,Gray,0.3,Blue,0.7,Blue,0.7,Red,0.7,2021,away
New Orleans,20,30.0%,6,25.1%,13,11.0%,20,8.4%,22,25.6%,Gray,0.3,Red,0.3,Gray,0.3,Gray,0.3,Blue,0.3,2021,away
New York,9,33.0%,16,20.5%,20,9.8%,19,8.5%,13,28.2%,Red,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2021,away
Oklahoma City,10,32.7%,17,20.1%,27,7.2%,12,9.4%,6,30.6%,Red,0.3,Gray,0.3,Blue,0.7,Gray,0.3,Red,0.3,2021,away
Orlando,8,33.3%,22,18.2%,25,7.7%,22,8.3%,2,32.5%,Red,0.3,Blue,0.3,Blue,0.3,Blue,0.3,Red,0.7,2021,away
Philadelphia,26,26.6%,3,26.5%,6,13.6%,10,9.6%,26,23.6%,Blue,0.7,Red,0.7,Red,0.3,Red,0.3,Blue,0.7,2021,away
Phoenix,24,28.2%,4,25.6%,5,13.7%,15,9.1%,27,23.4%,Blue,0.3,Red,0.7,Red,0.7,Gray,0.3,Blue,0.7,2021,away
Portland,14,31.9%,25,18.0%,17,10.3%,25,8.0%,4,31.9%,Gray,0.3,Blue,0.3,Gray,0.3,Blue,0.3,Red,0.7,2021,away
Sacramento,11,32.2%,14,21.6%,18,10.2%,30,6.8%,10,29.1%,Gray,0.3,Gray,0.3,Gray,0.3,Blue,0.7,Red,0.3,2021,away
San Antonio,27,26.6%,2,30.1%,9,12.9%,26,7.9%,29,22.6%,Blue,0.7,Red,0.7,Red,0.3,Blue,0.7,Blue,0.7,2021,away
Toronto,17,31.6%,9,22.7%,10,12.8%,29,7.0%,21,26.0%,Gray,0.3,Red,0.3,Red,0.3,Blue,0.7,Blue,0.3,2021,away
Utah,13,31.9%,27,17.7%,30,4.4%,1,12.3%,1,33.6%,Gray,0.3,Blue,0.7,Blue,0.7,Red,0.7,Red,0.7,2021,away
Washington,4,35.0%,7,24.0%,24,7.8%,6,10.4%,28,22.8%,Red,0.7,Red,0.3,Blue,0.3,Red,0.3,Blue,0.7,2021,away
Atlanta,14,33.2%,9,21.8%,16,9.8%,24,8.0%,16,27.1%,Gray,0.3,Red,0.3,Gray,0.3,Blue,0.3,Gray,0.3,2020,home
Boston,28,27.1%,7,23.0%,9,11.1%,23,8.1%,5,30.8%,Blue,0.7,Red,0.3,Red,0.3,Blue,0.3,Red,0.7,2020,home
Brooklyn,11,34.9%,12,21.2%,26,6.6%,16,8.5%,10,28.8%,Gray,0.3,Gray,0.3,Blue,0.7,Gray,0.3,Red,0.3,2020,home
Charlotte,7,38.4%,29,14.6%,23,7.7%,11,9.3%,9,30.1%,Red,0.3,Blue,0.7,Blue,0.3,Gray,0.3,Red,0.3,2020,home
Chicago,9,38.2%,27,15.2%,18,9.7%,8,9.6%,15,27.3%,Red,0.3,Blue,0.7,Gray,0.3,Red,0.3,Gray,0.3,2020,home
Cleveland,4,39.7%,8,22.3%,29,6.3%,26,7.6%,23,24.1%,Red,0.7,Red,0.3,Blue,0.7,Blue,0.7,Blue,0.3,2020,home
Dallas,26,28.8%,16,20.1%,12,10.2%,9,9.5%,3,31.4%,Blue,0.7,Gray,0.3,Gray,0.3,Red,0.3,Red,0.7,2020,home
Denver,23,29.7%,4,23.6%,10,11.0%,15,8.6%,17,27.0%,Blue,0.3,Red,0.7,Red,0.3,Gray,0.3,Gray,0.3,2020,home
Detroit,6,38.5%,20,19.1%,22,7.9%,19,8.4%,20,26.1%,Red,0.3,Gray,0.3,Blue,0.3,Gray,0.3,Gray,0.3,2020,home
Golden State,25,28.8%,11,21.4%,14,9.9%,13,8.9%,4,31.1%,Blue,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.7,2020,home
Houston,10,36.4%,26,15.3%,24,7.3%,5,10.4%,6,30.5%,Red,0.3,Blue,0.7,Blue,0.3,Red,0.7,Red,0.3,2020,home
Indiana,2,40.8%,23,17.0%,19,8.4%,25,7.7%,19,26.2%,Red,0.7,Blue,0.3,Gray,0.3,Blue,0.3,Gray,0.3,2020,home
LA Clippers,22,30.7%,18,19.3%,5,13.1%,3,11.1%,21,25.8%,Blue,0.3,Gray,0.3,Red,0.7,Red,0.7,Blue,0.3,2020,home
LA Lakers,3,40.5%,24,16.6%,17,9.8%,12,9.1%,24,24.1%,Red,0.7,Blue,0.3,Gray,0.3,Gray,0.3,Blue,0.3,2020,home
Memphis,20,31.9%,1,30.4%,28,6.4%,21,8.3%,27,23.0%,Gray,0.3,Red,0.7,Blue,0.7,Blue,0.3,Blue,0.7,2020,home
Miami,19,32.2%,21,18.2%,15,9.8%,2,11.5%,12,28.4%,Gray,0.3,Blue,0.3,Gray,0.3,Red,0.7,Gray,0.3,2020,home
Milwaukee,15,32.6%,22,17.9%,11,10.9%,18,8.4%,8,30.1%,Gray,0.3,Blue,0.3,Gray,0.3,Gray,0.3,Red,0.3,2020,home
Minnesota,5,39.1%,25,15.9%,25,7.3%,10,9.5%,14,28.3%,Red,0.7,Blue,0.3,Blue,0.3,Red,0.3,Gray,0.3,2020,home
New Orleans,1,44.8%,28,14.8%,13,10.0%,22,8.1%,29,22.3%,Red,0.7,Blue,0.7,Gray,0.3,Blue,0.3,Blue,0.7,2020,home
New York,12,34.9%,15,20.2%,6,12.9%,7,9.8%,30,22.2%,Gray,0.3,Gray,0.3,Red,0.3,Red,0.3,Blue,0.7,2020,home
Oklahoma City,8,38.4%,17,19.3%,27,6.5%,27,7.4%,13,28.4%,Red,0.3,Gray,0.3,Blue,0.7,Blue,0.7,Gray,0.3,2020,home
Orlando,29,27.0%,6,23.4%,2,15.3%,30,5.6%,11,28.8%,Blue,0.7,Red,0.3,Red,0.7,Blue,0.7,Gray,0.3,2020,home
Philadelphia,13,33.7%,10,21.8%,8,12.4%,14,8.8%,25,23.3%,Gray,0.3,Red,0.3,Red,0.3,Gray,0.3,Blue,0.3,2020,home
Phoenix,27,28.0%,14,21.1%,3,14.5%,4,10.9%,22,25.6%,Blue,0.7,Gray,0.3,Red,0.7,Red,0.7,Blue,0.3,2020,home
Portland,17,32.3%,30,12.3%,7,12.6%,20,8.3%,1,34.5%,Gray,0.3,Blue,0.7,Red,0.3,Gray,0.3,Red,0.7,2020,home
Sacramento,16,32.5%,3,24.8%,21,7.9%,17,8.5%,18,26.3%,Gray,0.3,Red,0.7,Blue,0.3,Gray,0.3,Gray,0.3,2020,home
